Species;Period;Abundance;Region
Chlorochrysa calliparaea;MODERN;1;SAN AGUSTIN
Chlorophanes spiza;MODERN;5;SAN AGUSTIN
Chlorophonia cyanocephala;MODERN;6;SAN AGUSTIN
Chloropipo flavicapilla;MODERN;3;SAN AGUSTIN
Chlorospingus flavopectus;MODERN;3;SAN AGUSTIN
Chlorostilbon gibsoni;MODERN;13;SAN AGUSTIN
Chlorostilbon melanorhynchus;MODERN;1;SAN AGUSTIN
Coeligena coeligena;MODERN;12;SAN AGUSTIN
Coeligena torquata;MODERN;8;SAN AGUSTIN
Coereba flaveola;MODERN;17;SAN AGUSTIN
Colaptes punctigula;MODERN;2;SAN AGUSTIN
Colaptes rubiginosus;MODERN;1;SAN AGUSTIN
Colibri coruscans;MODERN;2;SAN AGUSTIN
Colibri cyanotus;MODERN;1;SAN AGUSTIN
Colibri delphinae;MODERN;9;SAN AGUSTIN
Columbina minuta;MODERN;1;SAN AGUSTIN
Columbina talpacoti;MODERN;1;SAN AGUSTIN
Contopus fumigatus;MODERN;2;SAN AGUSTIN
Contopus virens;MODERN;1;SAN AGUSTIN
Coragyps atratus;MODERN;1;SAN AGUSTIN
Cranioleuca curtata;MODERN;5;SAN AGUSTIN
Crotophaga ani;MODERN;3;SAN AGUSTIN
Cyanocorax yncas;MODERN;75;SAN AGUSTIN
Cyclarhis gujanensis;MODERN;1;SAN AGUSTIN
Cyclarhis nigrirostris;MODERN;2;SAN AGUSTIN
Dendrocincla tyrannina;MODERN;1;SAN AGUSTIN
Diglossa albilatera;MODERN;5;SAN AGUSTIN
Diglossa cyanea;MODERN;2;SAN AGUSTIN
Diglossa sittoides;MODERN;6;SAN AGUSTIN
Doryfera ludovicae;MODERN;3;SAN AGUSTIN
Dryobates fumigatus;MODERN;3;SAN AGUSTIN
Dysithamnus mentalis;MODERN;20;SAN AGUSTIN
Elaenia chiriquensis;MODERN;4;SAN AGUSTIN
Elaenia flavogaster;MODERN;3;SAN AGUSTIN
Elaenia frantzii;MODERN;14;SAN AGUSTIN
Elanoides forficatus;MODERN;5;SAN AGUSTIN
Emberizoides herbicola;MODERN;2;SAN AGUSTIN
Euchrepomis callinota;MODERN;1;SAN AGUSTIN
Euphonia laniirostris;MODERN;4;SAN AGUSTIN
Euphonia xanthogaster;MODERN;11;SAN AGUSTIN
Eutoxeres aquila;MODERN;5;SAN AGUSTIN
Forpus conspicillatus;MODERN;3;SAN AGUSTIN
Grallaria hypoleuca;MODERN;5;SAN AGUSTIN
Grallaria ruficapilla;MODERN;12;SAN AGUSTIN
Grallaricula cucullata;MODERN;5;SAN AGUSTIN
Haplophaedia aureliae;MODERN;12;SAN AGUSTIN
Heliodoxa leadbeateri;MODERN;10;SAN AGUSTIN
Henicorhina leucophrys;MODERN;67;SAN AGUSTIN
Icterus chrysater;MODERN;20;SAN AGUSTIN
Knipolegus poecilurus;MODERN;18;SAN AGUSTIN
Legatus leucophaius;MODERN;1;SAN AGUSTIN
Lepidocolaptes lacrymiger;MODERN;3;SAN AGUSTIN
Leptopogon rufipectus;MODERN;1;SAN AGUSTIN
Leptopogon superciliaris;MODERN;5;SAN AGUSTIN
Leptotila verreauxi;MODERN;21;SAN AGUSTIN
Lophotriccus pileatus;MODERN;1;SAN AGUSTIN
Machetornis rixosa;MODERN;1;SAN AGUSTIN
Margarornis squamiger;MODERN;1;SAN AGUSTIN
Masius chrysopterus;MODERN;10;SAN AGUSTIN
Mecocerculus leucophrys;MODERN;1;SAN AGUSTIN
Megarynchus pitangua;MODERN;5;SAN AGUSTIN
Melanerpes formicivorus;MODERN;6;SAN AGUSTIN
Milvago chimachima;MODERN;3;SAN AGUSTIN
Mimus gilvus;MODERN;2;SAN AGUSTIN
Mionectes striaticollis;MODERN;16;SAN AGUSTIN
Molothrus bonariensis;MODERN;6;SAN AGUSTIN
Molothrus oryzivorus;MODERN;2;SAN AGUSTIN
Momotus aequatorialis;MODERN;11;SAN AGUSTIN
Myadestes ralloides;MODERN;33;SAN AGUSTIN
Myiarchus apicalis;MODERN;3;SAN AGUSTIN
Myiarchus cephalotes;MODERN;4;SAN AGUSTIN
Myioborus miniatus;MODERN;40;SAN AGUSTIN
Myioborus ornatus;MODERN;1;SAN AGUSTIN
Myiodynastes chrysocephalus;MODERN;3;SAN AGUSTIN
Myiodynastes maculatus;MODERN;1;SAN AGUSTIN
Myiophobus flavicans;MODERN;2;SAN AGUSTIN
Myiothlypis coronata;MODERN;14;SAN AGUSTIN
Myiozetetes cayanensis;MODERN;8;SAN AGUSTIN
Myiozetetes similis;MODERN;2;SAN AGUSTIN
Nephelomyias pulcher;MODERN;2;SAN AGUSTIN
Nothocercus bonapartei;MODERN;1;SAN AGUSTIN
Nyctidromus albicollis;MODERN;3;SAN AGUSTIN
Ocreatus underwoodii;MODERN;23;SAN AGUSTIN
Ortalis columbiana;MODERN;76;SAN AGUSTIN
Pachyramphus versicolor;MODERN;1;SAN AGUSTIN
Patagioenas cayennensis;MODERN;4;SAN AGUSTIN
Patagioenas fasciata;MODERN;23;SAN AGUSTIN
Patagioenas plumbea;MODERN;1;SAN AGUSTIN
Patagioenas subvinacea;MODERN;5;SAN AGUSTIN
Phaeomyias murina;MODERN;2;SAN AGUSTIN
Phaethornis syrmatophorus;MODERN;7;SAN AGUSTIN
Pharomachrus antisianus;MODERN;1;SAN AGUSTIN
Pharomachrus auriceps;MODERN;1;SAN AGUSTIN
Pheugopedius fasciatoventris;MODERN;3;SAN AGUSTIN
Pheugopedius mystacalis;MODERN;30;SAN AGUSTIN
Phimosus infuscatus;MODERN;2;SAN AGUSTIN
Phyllomyias cinereiceps;MODERN;1;SAN AGUSTIN
Phyllomyias griseiceps;MODERN;1;SAN AGUSTIN
Phyllomyias nigrocapillus;MODERN;2;SAN AGUSTIN
Phylloscartes poecilotis;MODERN;2;SAN AGUSTIN
Piaya cayana;MODERN;7;SAN AGUSTIN
Picumnus olivaceus;MODERN;3;SAN AGUSTIN
Pionus chalcopterus;MODERN;22;SAN AGUSTIN
Pipraeidea melanonota;MODERN;10;SAN AGUSTIN
Pipreola riefferii;MODERN;8;SAN AGUSTIN
Piranga flava;MODERN;2;SAN AGUSTIN
Pitangus sulphuratus;MODERN;10;SAN AGUSTIN
Platyrinchus mystaceus;MODERN;2;SAN AGUSTIN
Poecilotriccus ruficeps;MODERN;1;SAN AGUSTIN
Premnoplex brunnescens;MODERN;11;SAN AGUSTIN
Premnornis guttuliger;MODERN;10;SAN AGUSTIN
Psarocolius angustifrons;MODERN;1;SAN AGUSTIN
Pseudotriccus ruficeps;MODERN;4;SAN AGUSTIN
Pygochelidon cyanoleuca;MODERN;29;SAN AGUSTIN
Pyriglena leuconota;MODERN;2;SAN AGUSTIN
Pyrrhomyias cinnamomeus;MODERN;13;SAN AGUSTIN
Pyrrhura melanura;MODERN;2;SAN AGUSTIN
Ramphocelus dimidiatus;MODERN;11;SAN AGUSTIN
Rupicola peruvianus;MODERN;2;SAN AGUSTIN
Rupornis magnirostris;MODERN;16;SAN AGUSTIN
Saltator striatipectus;MODERN;13;SAN AGUSTIN
Saucerottia cyanifrons;MODERN;15;SAN AGUSTIN
Schistes albogularis;MODERN;4;SAN AGUSTIN
Scytalopus atratus;MODERN;1;SAN AGUSTIN
Scytalopus latrans;MODERN;8;SAN AGUSTIN
Scytalopus micropterus;MODERN;2;SAN AGUSTIN
Scytalopus rodriguezi;MODERN;1;SAN AGUSTIN
Scytalopus spillmanni;MODERN;9;SAN AGUSTIN
Setophaga fusca;MODERN;1;SAN AGUSTIN
Setophaga pitiayumi;MODERN;3;SAN AGUSTIN
Sicalis flaveola;MODERN;14;SAN AGUSTIN
Sphenopsis frontalis;MODERN;7;SAN AGUSTIN
Spinus psaltria;MODERN;6;SAN AGUSTIN
Sporathraupis cyanocephala;MODERN;1;SAN AGUSTIN
Sporophila minuta;MODERN;4;SAN AGUSTIN
Sporophila nigricollis;MODERN;22;SAN AGUSTIN
Stelgidopteryx ruficollis;MODERN;7;SAN AGUSTIN
Stilpnia cyanicollis;MODERN;19;SAN AGUSTIN
Stilpnia heinei;MODERN;1;SAN AGUSTIN
Stilpnia vitriolina;MODERN;24;SAN AGUSTIN
Streptoprocne rutila;MODERN;4;SAN AGUSTIN
Streptoprocne zonaris;MODERN;9;SAN AGUSTIN
Sturnella magna;MODERN;7;SAN AGUSTIN
Synallaxis albescens;MODERN;2;SAN AGUSTIN
Synallaxis azarae;MODERN;31;SAN AGUSTIN
Synallaxis brachyura;MODERN;18;SAN AGUSTIN
Syndactyla subalaris;MODERN;3;SAN AGUSTIN
Tachyphonus rufus;MODERN;6;SAN AGUSTIN
Tangara chrysotis;MODERN;1;SAN AGUSTIN
Tangara gyrola;MODERN;11;SAN AGUSTIN
Tangara labradorides;MODERN;4;SAN AGUSTIN
Tangara nigroviridis;MODERN;10;SAN AGUSTIN
Tangara parzudakii;MODERN;2;SAN AGUSTIN
Tangara xanthocephala;MODERN;3;SAN AGUSTIN
Thalurania colombica;MODERN;6;SAN AGUSTIN
Thamnophilus multistriatus;MODERN;9;SAN AGUSTIN
Thamnophilus unicolor;MODERN;4;SAN AGUSTIN
Thraupis episcopus;MODERN;30;SAN AGUSTIN
Thraupis palmarum;MODERN;6;SAN AGUSTIN
Thripadectes holostictus;MODERN;1;SAN AGUSTIN
Tiaris olivaceus;MODERN;67;SAN AGUSTIN
Tolmomyias sulphurescens;MODERN;1;SAN AGUSTIN
Troglodytes aedon;MODERN;13;SAN AGUSTIN
Trogon personatus;MODERN;1;SAN AGUSTIN
Turdus fuscater;MODERN;1;SAN AGUSTIN
Turdus ignobilis;MODERN;46;SAN AGUSTIN
Turdus leucomelas;MODERN;2;SAN AGUSTIN
Tyrannus melancholicus;MODERN;37;SAN AGUSTIN
Tyrannus savana;MODERN;1;SAN AGUSTIN
Uranomitra franciae;MODERN;8;SAN AGUSTIN
Vanellus chilensis;MODERN;29;SAN AGUSTIN
Vireo leucophrys;MODERN;30;SAN AGUSTIN
Volatinia jacarina;MODERN;1;SAN AGUSTIN
Xenops rutilans;MODERN;2;SAN AGUSTIN
Xiphorhynchus triangularis;MODERN;1;SAN AGUSTIN
Zenaida auriculata;MODERN;3;SAN AGUSTIN
Zentrygon frenata;MODERN;5;SAN AGUSTIN
Zimmerius chrysops;MODERN;48;SAN AGUSTIN
Zonotrichia capensis;MODERN;91;SAN AGUSTIN
Acropternis orthonyx;HISTORICAL;2;TOCHE
Adelomyia melanogenys;HISTORICAL;2;TOCHE
Amazona mercenarius;HISTORICAL;2;TOCHE
Amblycercus holosericeus;HISTORICAL;1;TOCHE
Ampelion rubrocristatus;HISTORICAL;6;TOCHE
Andigena hypoglauca;HISTORICAL;2;TOCHE
Andigena nigrirostris;HISTORICAL;3;TOCHE
Anisognathus lacrymosus;HISTORICAL;14;TOCHE
Anisognathus somptuosus;HISTORICAL;1;TOCHE
Anthocephala berlepschi;HISTORICAL;1;TOCHE
Arremon assimilis;HISTORICAL;8;TOCHE
Asio stygius;HISTORICAL;1;TOCHE
Atlapetes albinucha;HISTORICAL;1;TOCHE
Atlapetes flaviceps;HISTORICAL;2;TOCHE
Atlapetes pallidinucha;HISTORICAL;2;TOCHE
Atlapetes schistaceus;HISTORICAL;11;TOCHE
Boissonneaua flavescens;HISTORICAL;4;TOCHE
Buteo platypterus;HISTORICAL;1;TOCHE
Buthraupis montana;HISTORICAL;2;TOCHE
Cacicus chrysonotus;HISTORICAL;9;TOCHE
Campephilus pollens;HISTORICAL;1;TOCHE
Catamenia homochroa;HISTORICAL;1;TOCHE
Catharus ustulatus;HISTORICAL;1;TOCHE
Chamaepetes goudotii;HISTORICAL;7;TOCHE
Chamaeza mollissima;HISTORICAL;2;TOCHE
Chlorornis riefferii;HISTORICAL;10;TOCHE
Chlorospingus flavopectus;HISTORICAL;9;TOCHE
Chlorostilbon melanorhynchus;HISTORICAL;3;TOCHE
Cinclus leucocephalus;HISTORICAL;2;TOCHE
Cinnycerthia olivascens;HISTORICAL;2;TOCHE
Cinnycerthia unirufa;HISTORICAL;2;TOCHE
Cnemoscopus rubrirostris;HISTORICAL;3;TOCHE
Coeligena coeligena;HISTORICAL;12;TOCHE
Coeligena lutetiae;HISTORICAL;5;TOCHE
Coeligena torquata;HISTORICAL;2;TOCHE
Colaptes rivolii;HISTORICAL;1;TOCHE
Colibri cyanotus;HISTORICAL;9;TOCHE
Conirostrum albifrons;HISTORICAL;1;TOCHE
Conirostrum sitticolor;HISTORICAL;8;TOCHE
Contopus fumigatus;HISTORICAL;1;TOCHE
Cyanolyca armillata;HISTORICAL;11;TOCHE
Cyclarhis nigrirostris;HISTORICAL;1;TOCHE
Dendrocincla tyrannina;HISTORICAL;3;TOCHE
Diglossa albilatera;HISTORICAL;5;TOCHE
Diglossa cyanea;HISTORICAL;10;TOCHE
Diglossa humeralis;HISTORICAL;2;TOCHE
Diglossa sittoides;HISTORICAL;1;TOCHE
Elaenia chiriquensis;HISTORICAL;2;TOCHE
Elaenia frantzii;HISTORICAL;1;TOCHE
Elanoides forficatus;HISTORICAL;1;TOCHE
Ensifera ensifera;HISTORICAL;2;TOCHE
Eriocnemis derbyi;HISTORICAL;19;TOCHE
Falco sparverius;HISTORICAL;2;TOCHE
Grallaria alvarezi;HISTORICAL;4;TOCHE
Grallaria milleri;HISTORICAL;10;TOCHE
Grallaria nuchalis;HISTORICAL;10;TOCHE
Grallaria ruficapilla;HISTORICAL;2;TOCHE
Grallaria rufocinerea;HISTORICAL;4;TOCHE
Grallaria squamigera;HISTORICAL;2;TOCHE
Grallaricula nana;HISTORICAL;1;TOCHE
Hapalopsittaca fuertesi;HISTORICAL;6;TOCHE
Haplophaedia aureliae;HISTORICAL;3;TOCHE
Heliangelus exortis;HISTORICAL;33;TOCHE
Hellmayrea gularis;HISTORICAL;2;TOCHE
Hemitriccus granadensis;HISTORICAL;3;TOCHE
Henicorhina leucophrys;HISTORICAL;6;TOCHE
Kleinothraupis atropileus;HISTORICAL;3;TOCHE
Lafresnaya lafresnayi;HISTORICAL;3;TOCHE
Lepidocolaptes lacrymiger;HISTORICAL;6;TOCHE
Lipaugus fuscocinereus;HISTORICAL;1;TOCHE
Margarornis squamiger;HISTORICAL;5;TOCHE
Mecocerculus leucophrys;HISTORICAL;3;TOCHE
Mecocerculus stictopterus;HISTORICAL;5;TOCHE
Melanerpes formicivorus;HISTORICAL;2;TOCHE
Metallura tyrianthina;HISTORICAL;11;TOCHE
Mionectes striaticollis;HISTORICAL;2;TOCHE
Momotus aequatorialis;HISTORICAL;2;TOCHE
Myiarchus cephalotes;HISTORICAL;3;TOCHE
Myioborus miniatus;HISTORICAL;1;TOCHE
Myioborus ornatus;HISTORICAL;17;TOCHE
Myiodynastes chrysocephalus;HISTORICAL;1;TOCHE
Myiophobus flavicans;HISTORICAL;2;TOCHE
Myiotheretes fumigatus;HISTORICAL;4;TOCHE
Myiothlypis coronata;HISTORICAL;3;TOCHE
Myiothlypis luteoviridis;HISTORICAL;2;TOCHE
Myornis senilis;HISTORICAL;3;TOCHE
Ochthoeca cinnamomeiventris;HISTORICAL;2;TOCHE
Ochthoeca diadema;HISTORICAL;4;TOCHE
Ochthoeca rufipectoralis;HISTORICAL;16;TOCHE
Ognorhynchus icterotis;HISTORICAL;23;TOCHE
Parkesia noveboracensis;HISTORICAL;2;TOCHE
Patagioenas fasciata;HISTORICAL;3;TOCHE
Phylloscartes ophthalmicus;HISTORICAL;1;TOCHE
Picumnus olivaceus;HISTORICAL;2;TOCHE
Pionus chalcopterus;HISTORICAL;2;TOCHE
Pionus tumultuosus;HISTORICAL;1;TOCHE
Pipreola arcuata;HISTORICAL;1;TOCHE
Piranga rubriceps;HISTORICAL;2;TOCHE
Poecilotriccus ruficeps;HISTORICAL;1;TOCHE
Psarocolius angustifrons;HISTORICAL;1;TOCHE
Pseudocolaptes boissonneautii;HISTORICAL;4;TOCHE
Pseudospingus verticalis;HISTORICAL;1;TOCHE
Pygochelidon cyanoleuca;HISTORICAL;2;TOCHE
Pyrrhomyias cinnamomeus;HISTORICAL;2;TOCHE
Ramphomicron microrhynchum;HISTORICAL;3;TOCHE
Saltator striatipectus;HISTORICAL;1;TOCHE
Sayornis nigricans;HISTORICAL;4;TOCHE
Scytalopus atratus;HISTORICAL;1;TOCHE
Scytalopus latrans;HISTORICAL;1;TOCHE
Scytalopus micropterus;HISTORICAL;1;TOCHE
Serpophaga cinerea;HISTORICAL;4;TOCHE
Setophaga fusca;HISTORICAL;1;TOCHE
Sphenopsis frontalis;HISTORICAL;2;TOCHE
Spinus psaltria;HISTORICAL;1;TOCHE
Stelgidopteryx ruficollis;HISTORICAL;2;TOCHE
Streptoprocne zonaris;HISTORICAL;1;TOCHE
Synallaxis azarae;HISTORICAL;4;TOCHE
Systellura longirostris;HISTORICAL;10;TOCHE
Tangara vassorii;HISTORICAL;4;TOCHE
Thlypopsis superciliaris;HISTORICAL;3;TOCHE
Thripadectes flammulatus;HISTORICAL;2;TOCHE
Tiaris olivaceus;HISTORICAL;1;TOCHE
Troglodytes aedon;HISTORICAL;3;TOCHE
Troglodytes solstitialis;HISTORICAL;18;TOCHE
Trogon personatus;HISTORICAL;10;TOCHE
Turdus fuscater;HISTORICAL;16;TOCHE
Turdus ignobilis;HISTORICAL;2;TOCHE
Xenops rutilans;HISTORICAL;2;TOCHE
Xiphocolaptes promeropirhynchus;HISTORICAL;2;TOCHE
Xiphorhynchus triangularis;HISTORICAL;1;TOCHE
Zentrygon frenata;HISTORICAL;1;TOCHE
Zonotrichia capensis;HISTORICAL;9;TOCHE
Accipiter striatus;MODERN;1;TOCHE
Acropternis orthonyx;MODERN;6;TOCHE
Adelomyia melanogenys;MODERN;12;TOCHE
Aeronautes montivagus;MODERN;6;TOCHE
Aglaiocercus kingii;MODERN;9;TOCHE
Amazona mercenarius;MODERN;2;TOCHE
Amblycercus holosericeus;MODERN;1;TOCHE
Ampelion rubrocristatus;MODERN;11;TOCHE
Anabacerthia striaticollis;MODERN;4;TOCHE
Andigena hypoglauca;MODERN;5;TOCHE
Andigena nigrirostris;MODERN;22;TOCHE
Anisognathus igniventris;MODERN;30;TOCHE
Anisognathus lacrymosus;MODERN;30;TOCHE
Anisognathus somptuosus;MODERN;15;TOCHE
Anthocephala berlepschi;MODERN;5;TOCHE
Arremon brunneinucha;MODERN;9;TOCHE
Atlapetes albinucha;MODERN;4;TOCHE
Atlapetes flaviceps;MODERN;10;TOCHE
Atlapetes pallidinucha;MODERN;6;TOCHE
Atlapetes schistaceus;MODERN;28;TOCHE
Aulacorhynchus albivitta;MODERN;15;TOCHE
Boissonneaua flavescens;MODERN;2;TOCHE
Bubulcus ibis;MODERN;10;TOCHE
Buthraupis montana;MODERN;40;TOCHE
Butorides striata;MODERN;1;TOCHE
Cacicus chrysonotus;MODERN;18;TOCHE
Camptostoma obsoletum;MODERN;1;TOCHE
Caracara plancus;MODERN;11;TOCHE
Catamblyrhynchus diadema;MODERN;2;TOCHE
Catamenia homochroa;MODERN;2;TOCHE
Chaetocercus mulsant;MODERN;3;TOCHE
Chamaepetes goudotii;MODERN;27;TOCHE
Chlorophonia cyanocephala;MODERN;1;TOCHE
Chlorophonia pyrrhophrys;MODERN;4;TOCHE
Chlorornis riefferii;MODERN;14;TOCHE
Chlorospingus canigularis;MODERN;2;TOCHE
Chlorospingus flavopectus;MODERN;8;TOCHE
Chlorostilbon melanorhynchus;MODERN;5;TOCHE
Cinclus leucocephalus;MODERN;1;TOCHE
Cinnycerthia olivascens;MODERN;4;TOCHE
Cinnycerthia unirufa;MODERN;11;TOCHE
Cistothorus platensis;MODERN;22;TOCHE
Cnemoscopus rubrirostris;MODERN;1;TOCHE
Coeligena coeligena;MODERN;2;TOCHE
Coeligena lutetiae;MODERN;42;TOCHE
Coeligena torquata;MODERN;19;TOCHE
Coereba flaveola;MODERN;1;TOCHE
Colaptes rivolii;MODERN;31;TOCHE
Colaptes rubiginosus;MODERN;5;TOCHE
Colibri coruscans;MODERN;7;TOCHE
Colibri cyanotus;MODERN;79;TOCHE
Conirostrum albifrons;MODERN;14;TOCHE
Conirostrum sitticolor;MODERN;7;TOCHE
Contopus fumigatus;MODERN;8;TOCHE
Coragyps atratus;MODERN;22;TOCHE
Creurgops verticalis;MODERN;3;TOCHE
Cyanocorax yncas;MODERN;86;TOCHE
Cyanolyca armillata;MODERN;24;TOCHE
Cyclarhis nigrirostris;MODERN;4;TOCHE
Dendrocincla tyrannina;MODERN;7;TOCHE
Diglossa albilatera;MODERN;24;TOCHE
Diglossa caerulescens;MODERN;7;TOCHE
Diglossa cyanea;MODERN;39;TOCHE
Diglossa humeralis;MODERN;1;TOCHE
Diglossa lafresnayii;MODERN;2;TOCHE
Drymophila striaticeps;MODERN;5;TOCHE
Dryobates fumigatus;MODERN;4;TOCHE
Dryobates nigriceps;MODERN;1;TOCHE
Dubusia taeniata;MODERN;4;TOCHE
Elaenia frantzii;MODERN;23;TOCHE
Ensifera ensifera;MODERN;12;TOCHE
Eriocnemis derbyi;MODERN;1;TOCHE
Eriocnemis vestita;MODERN;3;TOCHE
Euphonia laniirostris;MODERN;2;TOCHE
Eutoxeres aquila;MODERN;4;TOCHE
Falco sparverius;MODERN;19;TOCHE
Geranoaetus polyosoma;MODERN;2;TOCHE
Glaucidium jardinii;MODERN;1;TOCHE
Grallaria alleni;MODERN;2;TOCHE
Grallaria milleri;MODERN;3;TOCHE
Grallaria nuchalis;MODERN;38;TOCHE
Grallaria ruficapilla;MODERN;23;TOCHE
Grallaria rufocinerea;MODERN;5;TOCHE
Grallaria rufula;MODERN;6;TOCHE
Grallaria squamigera;MODERN;6;TOCHE
Grallaricula lineifrons;MODERN;2;TOCHE
Grallaricula nana;MODERN;5;TOCHE
Heliangelus exortis;MODERN;40;TOCHE
Heliodoxa rubinoides;MODERN;4;TOCHE
Hellmayrea gularis;MODERN;8;TOCHE
Henicorhina leucophrys;MODERN;63;TOCHE
Icterus chrysater;MODERN;38;TOCHE
Iridosornis rufivertex;MODERN;8;TOCHE
Kleinothraupis atropileus;MODERN;15;TOCHE
Lafresnaya lafresnayi;MODERN;15;TOCHE
Lepidocolaptes lacrymiger;MODERN;7;TOCHE
Leptopogon superciliaris;MODERN;1;TOCHE
Leptosittaca branickii;MODERN;228;TOCHE
Lesbia nuna;MODERN;1;TOCHE
Lipaugus fuscocinereus;MODERN;7;TOCHE
Margarornis squamiger;MODERN;12;TOCHE
Mecocerculus leucophrys;MODERN;49;TOCHE
Mecocerculus poecilocercus;MODERN;8;TOCHE
Mecocerculus stictopterus;MODERN;6;TOCHE
Megaceryle torquata;MODERN;11;TOCHE
Metallura tyrianthina;MODERN;38;TOCHE
Metallura williami;MODERN;6;TOCHE
Milvago chimachima;MODERN;2;TOCHE
Mionectes striaticollis;MODERN;11;TOCHE
Momotus aequatorialis;MODERN;3;TOCHE
Myadestes ralloides;MODERN;8;TOCHE
Myiarchus cephalotes;MODERN;19;TOCHE
Myioborus miniatus;MODERN;35;TOCHE
Myioborus ornatus;MODERN;104;TOCHE
Myiodynastes chrysocephalus;MODERN;15;TOCHE
Myiophobus flavicans;MODERN;5;TOCHE
Myiotheretes fumigatus;MODERN;1;TOCHE
Myiotheretes striaticollis;MODERN;9;TOCHE
Myiothlypis coronata;MODERN;19;TOCHE
Myiothlypis nigrocristata;MODERN;10;TOCHE
Myornis senilis;MODERN;5;TOCHE
Ochthoeca cinnamomeiventris;MODERN;21;TOCHE
Ochthoeca diadema;MODERN;12;TOCHE
Ochthoeca frontalis;MODERN;4;TOCHE
Ochthoeca fumicolor;MODERN;2;TOCHE
Ochthoeca rufipectoralis;MODERN;6;TOCHE
Ocreatus underwoodii;MODERN;18;TOCHE
Ognorhynchus icterotis;MODERN;143;TOCHE
Opisthoprora euryptera;MODERN;7;TOCHE
Orochelidon murina;MODERN;18;TOCHE
Ortalis columbiana;MODERN;21;TOCHE
Pachyramphus versicolor;MODERN;2;TOCHE
Parabuteo leucorrhous;MODERN;1;TOCHE
Patagioenas fasciata;MODERN;72;TOCHE
Penelope montagnii;MODERN;23;TOCHE
Phaethornis syrmatophorus;MODERN;2;TOCHE
Phalcoboenus carunculatus;MODERN;2;TOCHE
Pharomachrus auriceps;MODERN;2;TOCHE
Pheugopedius mystacalis;MODERN;31;TOCHE
Phimosus infuscatus;MODERN;20;TOCHE
Phyllomyias cinereiceps;MODERN;2;TOCHE
Phyllomyias nigrocapillus;MODERN;6;TOCHE
Phylloscartes ophthalmicus;MODERN;5;TOCHE
Phylloscartes poecilotis;MODERN;1;TOCHE
Piaya cayana;MODERN;2;TOCHE
Pionus chalcopterus;MODERN;12;TOCHE
Pionus tumultuosus;MODERN;70;TOCHE
Pipraeidea melanonota;MODERN;1;TOCHE
Pipreola arcuata;MODERN;6;TOCHE
Pipreola riefferii;MODERN;2;TOCHE
Poecilotriccus ruficeps;MODERN;2;TOCHE
Premnoplex brunnescens;MODERN;2;TOCHE
Pseudocolaptes boissonneautii;MODERN;1;TOCHE
Pseudotriccus ruficeps;MODERN;8;TOCHE
Pygochelidon cyanoleuca;MODERN;38;TOCHE
Pyrrhomyias cinnamomeus;MODERN;41;TOCHE
Ramphomicron microrhynchum;MODERN;1;TOCHE
Rupornis magnirostris;MODERN;13;TOCHE
Saltator atripennis;MODERN;2;TOCHE
Sayornis nigricans;MODERN;3;TOCHE
Schistes geoffroyi;MODERN;1;TOCHE
Scytalopus atratus;MODERN;1;TOCHE
Scytalopus latrans;MODERN;18;TOCHE
Scytalopus spillmanni;MODERN;42;TOCHE
Sericossypha albocristata;MODERN;20;TOCHE
Serpophaga cinerea;MODERN;4;TOCHE
Setophaga pitiayumi;MODERN;2;TOCHE
Sphenopsis frontalis;MODERN;11;TOCHE
Sphenopsis melanotis;MODERN;8;TOCHE
Spinus magellanicus;MODERN;6;TOCHE
Spinus spinescens;MODERN;2;TOCHE
Spizaetus isidori;MODERN;1;TOCHE
Spodiornis rusticus;MODERN;3;TOCHE
Sporathraupis cyanocephala;MODERN;7;TOCHE
Sporophila luctuosa;MODERN;19;TOCHE
Stilpnia cyanicollis;MODERN;5;TOCHE
Stilpnia heinei;MODERN;19;TOCHE
Stilpnia vitriolina;MODERN;3;TOCHE
Streptoprocne rutila;MODERN;7;TOCHE
Streptoprocne zonaris;MODERN;20;TOCHE
Synallaxis azarae;MODERN;90;TOCHE
Syndactyla subalaris;MODERN;1;TOCHE
Systellura longirostris;MODERN;1;TOCHE
Tangara arthus;MODERN;3;TOCHE
Tangara labradorides;MODERN;8;TOCHE
Tangara nigroviridis;MODERN;8;TOCHE
Tangara vassorii;MODERN;35;TOCHE
Tangara xanthocephala;MODERN;3;TOCHE
Thlypopsis superciliaris;MODERN;14;TOCHE
Thraupis episcopus;MODERN;5;TOCHE
Thraupis palmarum;MODERN;3;TOCHE
Thripadectes holostictus;MODERN;2;TOCHE
Tiaris olivaceus;MODERN;6;TOCHE
Troglodytes aedon;MODERN;3;TOCHE
Troglodytes solstitialis;MODERN;9;TOCHE
Trogon personatus;MODERN;8;TOCHE
Turdus fuscater;MODERN;135;TOCHE
Turdus ignobilis;MODERN;10;TOCHE
Turdus leucops;MODERN;1;TOCHE
Turdus serranus;MODERN;3;TOCHE
Tyrannus melancholicus;MODERN;9;TOCHE
Uranomitra franciae;MODERN;3;TOCHE
Uromyias agilis;MODERN;3;TOCHE
Uropsalis segmentata;MODERN;1;TOCHE
Vanellus chilensis;MODERN;7;TOCHE
Vireo leucophrys;MODERN;7;TOCHE
Xenops rutilans;MODERN;5;TOCHE
Xiphocolaptes promeropirhynchus;MODERN;1;TOCHE
Zenaida auriculata;MODERN;1;TOCHE
Zimmerius chrysops;MODERN;3;TOCHE
